resultid,raceid,driverid,constructorid,position,points,laps,fastestlap,rank,fastestlaptime,fastestlapspeed,status
676,49,21,4,,0,1,,,,,Suspension
764,53,27,13,,0,0,,,,,Driveshaft
1634,95,32,19,,0,0,,,,,Accident
1653,96,23,3,,0,0,,,,,Collision
4614,234,56,6,,0,34,,,,,Engine
6326,299,131,17,,0,13,,,,,Collision
7344,330,145,22,,0,64,,,,,Collision
10001,427,137,34,4,3,64,,,,,+1 Lap
10002,427,118,4,5,2,64,,,,,+1 Lap
10003,427,176,34,6,1,63,,,,,+2 Laps
10004,427,84,25,7,0,63,,,,,+2 Laps
10005,427,77,21,8,0,63,,,,,+2 Laps
10006,427,119,51,9,0,62,,,,,+3 Laps
10007,427,102,32,10,0,60,,,,,Fuel system
10008,427,185,25,11,0,59,,,,,+6 Laps
10009,427,182,1,,0,57,,,,,Electrical
10010,427,123,21,,0,57,,,,,Spun off
10011,427,110,27,,0,41,,,,,Clutch
10012,427,94,18,,0,38,,,,,Transmission
10013,427,173,32,,0,37,,,,,Not classified
10014,427,181,50,,0,28,,,,,Turbo
10015,427,177,3,,0,21,,,,,Exhaust
10016,427,95,3,,0,17,,,,,Clutch
10017,427,158,51,,0,17,,,,,Turbo
10018,427,156,49,,0,6,,,,,Engine
10019,427,170,53,,0,4,,,,,Transmission
10020,427,140,6,,0,1,,,,,Accident
10021,427,175,4,,0,0,,,,,Spun off
10022,427,112,50,,0,0,,,,,Accident
10023,427,160,45,,0,0,,,,,Accident
10024,428,105,6,1,9,67,,,,,Finished
10025,428,117,1,2,6,67,,,,,Finished
10026,428,172,27,3,4,67,,,,,Finished
11197,471,206,3,,0,60,,,,,Spun off
14702,596,317,37,,0,59,,,,,Suspension
16303,662,262,197,,0,11,,,,,Oil leak
17511,723,360,170,,0,6,,,,,Engine
18329,757,527,114,,0,182,,,,,Spun off
19322,803,685,125,,0,40,,,,,Accident
19728,820,669,128,,0,56,,,,,Axle
20001,831,687,6,,0,1,,,,,Magneto
20002,831,622,6,,0,0,,,,,Transmission
20003,831,686,66,,0,0,,,,,Withdrew
20004,831,781,66,,0,0,,,,,Withdrew
20005,832,579,51,1,9,70,,,,,Finished
20006,832,498,6,2,6,70,,,,,Finished
20007,832,642,51,3,4,70,,,,,Finished
20008,832,647,6,4,3,68,,,,,+2 Laps
20009,832,697,51,5,2,68,,,,,+2 Laps
20010,832,640,51,6,0,66,,,,,+4 Laps
20011,832,627,154,7,0,64,,,,,+6 Laps
20012,832,741,154,8,0,63,,,,,+7 Laps
