constructor_key,constructor_name,geography_id,constructor_id
1279,MF1,408,13
1267,MCLAREN,369,1
1268,BMW SAUBER,370,2
1269,WILLIAMS,369,3
1270,RENAULT,374,4
1271,TORO ROSSO,377,5
1272,FERRARI,377,6
1273,TOYOTA,373,7
1274,SUPER AGURI,373,8
1275,RED BULL,379,9
1276,FORCE INDIA,385,10
1277,HONDA,373,11
1278,SPYKER,381,12
1280,SPYKER MF1,381,14
1281,SAUBER,392,15
1282,BAR,369,16
1283,JORDAN,387,17
1284,MINARDI,377,18
1285,JAGUAR,369,19
1286,PROST,374,20
1287,ARROWS,369,21
1288,BENETTON,377,22
1289,BRAWN,369,23
1290,STEWART,369,24
1291,TYRRELL,369,25
1292,LOLA,369,26
1293,LIGIER,374,27
1294,FORTI,377,28
1295,FOOTWORK,369,29
1296,PACIFIC,369,30
1297,SIMTEK,369,31
1298,TEAM LOTUS,369,32
1299,LARROUSSE,374,33
1300,BRABHAM,369,34
1301,DALLARA,377,35
1302,FONDMETAL,377,36
1303,MARCH,369,37
1304,ANDREA MODA,377,38
1305,AGS,374,39
1306,LAMBO,377,40
1307,LEYTON HOUSE,369,41
1308,COLONI,377,42
1309,EURO BRUN,377,44
1310,OSELLA,377,45
1311,ONYX,369,46
1312,LIFE,377,47
1313,RIAL,370,48
1314,ZAKSPEED,370,49
1315,RAM,369,50
1316,ALFA ROMEO,392,51
1317,SPIRIT,369,52
1318,TOLEMAN,369,53
1319,ATS,377,54
1320,THEODORE,411,55
1321,FITTIPALDI,376,56
1322,ENSIGN,369,57
1323,SHADOW,369,58
1324,WOLF,384,59
1325,MERZARIO,377,60
1326,KAUHSEN,370,61
1327,REBAQUE,399,62
1328,SURTEES,369,63
1329,HESKETH,369,64
1330,MARTINI,374,65
1331,BRM,369,66
1332,PENSKE,380,67
1333,LEC,369,68
1334,MCGUIRE,378,69
1335,BORO,381,70
1336,APOLLON,392,71
1337,KOJIMA,373,72
1338,PARNELLI,380,73
1339,MAKI,373,74
1340,EMBASSY HILL,369,75
1341,LYNCAR,369,76
1342,TROJAN,369,77
1343,AMON,397,78
1344,TOKEN,369,79
1345,ISO MARLBORO,369,80
1346,TECNO,377,81
1347,MATRA,374,82
1348,POLITOYS,369,83
1349,CONNEW,369,84
1350,BELLASI,392,85
1351,DE TOMASO,377,86
1352,COOPER,369,87
