driverstandings_key,driverstandings_id,drivers_id,race_id,points,position,wins
132703,66656,817,901,0,22,0
132704,66657,3,902,61,1,1
132705,66658,825,902,20,7,0
132706,66659,18,902,23,5,0
132707,66660,4,902,26,4,0
132708,66661,822,902,18,8,0
132709,66662,807,902,28,3,0
132710,66663,8,902,7,12,0
132711,66664,818,902,4,13,0
132712,66665,826,902,3,14,0
132713,66666,815,902,16,9,0
132714,66667,16,902,0,16,0
132715,66668,821,902,0,17,0
132716,66669,820,902,0,18,0
132717,66670,824,902,0,22,0
132718,66671,154,902,0,15,0
132719,66672,813,902,0,20,0
132720,66673,828,902,0,21,0
132721,66674,20,902,23,6,0
132722,66675,1,902,50,2,2
132723,66676,13,902,12,11,0
132724,66677,155,902,0,19,0
132725,66678,817,902,12,10,0
132726,66679,3,903,79,1,1
132727,66680,825,903,20,9,0
132728,66681,18,903,23,8,0
132729,66682,4,903,41,3,0
132730,66683,822,903,24,7,0
132731,66684,807,903,36,4,0
132732,66685,8,903,11,12,0
132733,66686,818,903,4,13,0
132734,66687,826,903,4,14,0
132735,66688,815,903,18,10,0
132736,66689,16,903,0,16,0
132737,66690,821,903,0,17,0
132738,66691,820,903,0,18,0
132739,66692,824,903,0,22,0
132740,66693,154,903,0,15,0
132741,66694,813,903,0,20,0
132742,66695,828,903,0,21,0
132743,66696,20,903,33,5,0
132744,66697,1,903,75,2,3
132745,66698,13,903,12,11,0
132746,66699,155,903,0,19,0
132747,66700,817,903,24,6,0
132748,66701,3,904,97,2,1
132749,66702,825,904,20,9,0
132750,66703,18,904,23,8,0
132751,66704,4,904,49,3,0
132752,66705,822,904,34,7,0
132753,66706,807,904,37,6,0
132754,66707,8,904,17,11,0
132755,66708,818,904,4,14,0
132756,66709,826,904,4,15,0
132757,66710,815,904,20,10,0
132758,66711,16,904,0,16,0
102703,1,1,18,10,1,1
102704,2,2,18,8,2,0
102705,3,3,18,6,3,0
102706,4,4,18,5,4,0
102707,5,5,18,4,5,0
102708,6,6,18,3,6,0
102709,7,7,18,2,7,0
102710,8,8,18,1,8,0
102711,9,1,19,14,1,1
102712,10,2,19,11,3,0
102713,11,3,19,6,6,0
102714,12,4,19,6,7,0
102715,13,5,19,10,4,0
102716,14,6,19,3,9,0
102717,15,7,19,2,10,0
102718,16,8,19,11,2,1
102719,17,9,19,8,5,0
102720,18,15,19,5,8,0
102721,19,17,19,2,11,0
102722,20,14,19,0,12,0
102723,21,18,19,0,13,0
102724,22,12,19,0,14,0
102725,23,21,19,0,15,0
102726,24,22,19,0,16,0
102727,25,19,19,0,17,0
102728,26,11,19,0,18,0
102729,27,1,20,14,3,1
102730,28,2,20,16,2,0
102731,29,3,20,7,8,0
102732,30,4,20,6,9,0
102733,31,5,20,14,5,0
102734,32,6,20,3,11,0
102735,33,7,20,2,12,0
102736,34,8,20,19,1,1
102737,35,9,20,14,4,0
102738,36,15,20,8,7,0
102739,37,17,20,4,10,0
102740,38,14,20,0,13,0
102741,39,18,20,0,15,0
102742,40,12,20,0,17,0
102743,41,21,20,0,18,0
102744,42,22,20,0,16,0
102745,43,19,20,0,19,0
102746,44,11,20,0,20,0
102747,45,13,20,10,6,1
102748,46,10,20,0,14,0
102749,47,16,20,0,21,0
102750,48,1,21,20,2,1
102751,49,2,21,16,5,0
102752,50,3,21,7,9,0
102753,51,4,21,6,10,0
102754,52,5,21,14,6,0
102755,53,6,21,5,11,0
102756,54,7,21,2,13,0
102757,55,8,21,29,1,2
102758,56,9,21,19,3,0
102759,57,15,21,9,7,0
102760,58,17,21,8,8,0
102761,59,14,21,0,15,0
102762,60,18,21,3,12,0
102763,61,12,21,0,18,0
102764,62,21,21,0,16,0
102765,63,22,21,0,17,0
102766,64,19,21,0,20,0
102767,65,11,21,0,19,0
102768,66,13,21,18,4,1
102769,67,10,21,0,14,0
102770,68,16,21,0,21,0
102771,69,1,22,28,3,1
102772,70,2,22,20,5,0
102773,71,3,22,8,10,0
102774,72,4,22,9,8,0
102775,73,5,22,14,6,0
102776,74,6,22,5,11,0
102777,75,7,22,2,13,0
102778,76,8,22,35,1,2
102779,77,9,22,24,4,0
102780,78,15,22,9,9,0
102781,79,17,22,10,7,0
102782,80,14,22,0,14,0
102783,81,18,22,3,12,0
102784,82,12,22,0,18,0
102785,83,21,22,0,16,0
102786,84,22,22,0,17,0
102787,85,19,22,0,20,0
102788,86,11,22,0,19,0
102789,87,13,22,28,2,2
102790,88,10,22,0,15,0
102791,89,16,22,0,21,0
102792,90,20,22,0,22,0
102793,91,1,23,38,1,2
102794,92,2,23,20,5,0
102795,93,3,23,8,10,0
102796,94,4,23,9,8,0
102797,95,5,23,15,6,0
102798,96,6,23,7,11,0
102799,97,7,23,2,15,0
102800,98,8,23,35,2,2
102801,99,9,23,32,4,0
102802,100,15,23,9,9,0
102803,101,17,23,15,7,0
102804,102,14,23,0,16,0
102805,103,18,23,3,13,0
102806,104,12,23,0,19,0
102807,105,21,23,0,18,0
102808,106,22,23,3,14,0
102809,107,19,23,0,21,0
102810,108,11,23,0,20,0
102811,109,13,23,34,3,2
102812,110,10,23,0,17,0
102813,111,16,23,0,22,0
102814,112,20,23,4,12,0
102815,113,1,24,38,2,2
102816,114,2,24,28,5,0
102817,115,3,24,8,10,0
102818,116,4,24,9,9,0
102819,117,5,24,15,6,0
102820,118,6,24,7,11,0
102821,119,7,24,2,17,0
102822,120,8,24,35,4,2
102823,121,9,24,42,1,1
102824,122,15,24,12,8,0
102825,123,17,24,15,7,0
102826,124,14,24,6,12,0
102827,125,18,24,3,16,0
102828,126,12,24,0,19,0
102829,127,21,24,0,18,0
102830,128,22,24,5,15,0
102831,129,19,24,0,21,0
102832,130,11,24,0,20,0
102833,131,13,24,38,3,2
102834,132,10,24,5,13,0
102835,133,16,24,0,22,0
102836,134,20,24,5,14,0
102837,135,1,25,38,4,2
102838,136,2,25,28,5,0
102839,137,3,25,8,10,0
102840,138,4,25,10,9,0
102841,139,5,25,20,6,0
102842,140,6,25,7,11,0
102843,141,7,25,2,18,0
102844,142,8,25,43,3,2
102845,143,9,25,46,2,1
102846,144,15,25,18,7,0
102847,145,17,25,18,8,0
102848,146,14,25,6,12,0
102849,147,18,25,3,16,0
102850,148,12,25,2,17,0
102851,149,21,25,0,19,0
102852,150,22,25,5,15,0
102853,151,19,25,0,21,0
102854,152,11,25,0,20,0
102855,153,13,25,48,1,3
102856,154,10,25,5,13,0
102857,155,16,25,0,22,0
102858,156,20,25,5,14,0
102859,157,1,26,48,1,3
102860,158,2,26,36,5,0
102861,159,3,26,8,11,0
102862,160,4,26,13,9,0
102863,161,5,26,24,6,0
102864,162,6,26,8,12,0
102865,163,7,26,2,17,0
102866,164,8,26,48,3,2
102867,165,9,26,46,4,1
102868,166,15,26,20,7,0
102869,167,17,26,18,8,0
102870,168,14,26,6,13,0
102871,169,18,26,3,16,0
102872,170,12,26,2,18,0
102873,171,21,26,0,19,0
102874,172,22,26,11,10,0
102875,173,19,26,0,21,0
102876,174,11,26,0,20,0
102877,175,13,26,48,2,3
102878,176,10,26,5,14,0
102879,177,16,26,0,22,0
102880,178,20,26,5,15,0
102881,179,1,27,58,1,4
102882,180,2,27,41,5,0
102883,181,3,27,8,12,0
102884,182,4,27,13,9,0
102885,183,5,27,28,6,0
102886,184,6,27,8,13,0
102887,185,7,27,2,18,0
102888,186,8,27,51,3,2
102889,187,9,27,48,4,1
102890,188,15,27,20,7,0
102891,189,17,27,18,8,0
102892,190,14,27,6,14,0
102893,191,18,27,3,17,0
102894,192,12,27,10,11,0
102895,193,21,27,0,19,0
102896,194,22,27,11,10,0
102897,195,19,27,0,22,0
102898,196,11,27,0,20,0
102899,197,13,27,54,2,3
102900,198,10,27,5,16,0
102901,199,16,27,0,21,0
102902,200,20,27,6,15,0
102903,201,1,28,62,1,4
102904,202,2,28,41,5,0
102905,203,3,28,8,13,0
102906,204,4,28,18,8,0
102907,205,5,28,38,6,1
102908,206,6,28,8,14,0
102909,207,7,28,2,18,0
102910,208,8,28,57,2,2
102911,209,9,28,49,4,1
102912,210,15,28,22,7,0
102913,211,17,28,18,9,0
102914,212,14,28,6,15,0
102915,213,18,28,3,17,0
102916,214,12,28,13,11,0
102917,215,21,28,0,19,0
102918,216,22,28,11,12,0
102919,217,19,28,0,22,0
102920,218,11,28,0,20,0
102921,219,13,28,54,3,3
102922,220,10,28,13,10,0
102923,221,16,28,0,21,0
102924,222,20,28,6,16,0
102925,223,1,29,70,1,4
102926,224,2,29,41,6,0
102927,225,3,29,9,13,0
102928,226,4,29,18,8,0
102929,227,5,29,43,5,1
102930,228,6,29,8,15,0
102931,229,7,29,2,18,0
102932,230,8,29,57,3,2
102933,231,9,29,55,4,1
102934,232,15,29,26,7,0
102935,233,17,29,18,9,0
102936,234,14,29,6,16,0
102937,235,18,29,3,17,0
102938,236,12,29,13,11,0
102939,237,21,29,0,19,0
102940,238,22,29,11,12,0
102941,239,19,29,0,22,0
102942,240,11,29,0,20,0
102943,241,13,29,64,2,4
102944,242,10,29,15,10,0
102945,243,16,29,0,21,0
102946,244,20,29,9,14,0
102947,245,1,30,76,1,4
102948,246,2,30,49,5,0
102949,247,3,30,9,14,0
102950,248,4,30,23,8,0
102951,249,5,30,43,6,1
102952,250,6,30,8,15,0
102953,251,7,30,4,17,0
102954,252,8,30,57,4,2
102955,253,9,30,58,3,1
102956,254,15,30,26,7,0
102957,255,17,30,19,9,0
102958,256,14,30,6,16,0
102959,257,18,30,3,18,0
102960,258,12,30,13,11,0
102961,259,21,30,0,19,0
102962,260,22,30,11,13,0
102963,261,19,30,0,22,0
102964,262,11,30,0,21,0
102965,263,13,30,74,2,5
102966,264,10,30,15,10,0
102967,265,16,30,0,20,0
102968,266,20,30,13,12,0
102969,267,1,31,78,1,4
102970,268,2,31,53,5,0
102971,269,3,31,9,14,0
102972,270,4,31,28,7,0
102973,271,5,31,51,6,1
102974,272,6,31,8,15,0
102975,273,7,31,4,17,0
102976,274,8,31,57,4,2
102977,275,9,31,64,3,1
102978,276,15,31,26,8,0
102979,277,17,31,20,10,0
102980,278,14,31,6,16,0
102981,279,18,31,3,18,0
102982,280,12,31,13,12,0
102983,281,21,31,0,19,0
102984,282,22,31,11,13,0
102985,283,19,31,0,22,0
102986,284,11,31,0,21,0
102987,285,13,31,77,2,5
102988,286,10,31,15,11,0
102989,287,16,31,0,20,0
102990,288,20,31,23,9,1
102991,289,1,32,84,1,4
102992,290,2,32,56,5,0
102993,291,3,32,17,12,0
102994,292,4,32,38,7,1
102995,293,5,32,51,6,1
102996,294,6,32,9,15,0
102997,295,7,32,4,17,0
102998,296,8,32,57,4,2
102999,297,9,32,64,3,1
103000,298,15,32,26,9,0
103001,299,17,32,20,11,0
103002,300,14,32,8,16,0
103003,301,18,32,3,18,0
103004,302,12,32,13,13,0
103005,303,21,32,0,19,0
103006,304,22,32,11,14,0
103007,305,19,32,0,22,0
103008,306,11,32,0,21,0
103009,307,13,32,77,2,5
103010,308,10,32,20,10,0
103011,309,16,32,0,20,0
103012,310,20,32,27,8,1
103013,311,1,33,84,1,4
103014,312,2,33,56,5,0
103015,313,3,33,17,13,0
103016,314,4,33,48,7,2
103017,315,5,33,51,6,1
103018,316,6,33,9,15,0
103019,317,7,33,4,17,0
103020,318,8,33,63,4,2
103021,319,9,33,72,3,1
103022,320,15,33,30,9,0
103023,321,17,33,21,10,0
103024,322,14,33,8,16,0
103025,323,18,33,3,18,0
103026,324,12,33,18,12,0
103027,325,21,33,0,19,0
103028,326,22,33,11,14,0
103029,327,19,33,0,22,0
103030,328,11,33,0,21,0
103031,329,13,33,79,2,5
103032,330,10,33,20,11,0
103033,331,16,33,0,20,0
103034,332,20,33,30,8,1
103035,3459,20,34,30,8,1
103036,3458,16,34,0,20,0
103037,3457,10,34,22,10,0
103038,3456,13,34,87,2,5
103039,3455,11,34,0,21,0
103040,3454,19,34,0,22,0
103041,3453,22,34,11,14,0
103042,3452,21,34,0,19,0
103043,3451,12,34,19,12,0
103044,3450,18,34,3,18,0
103045,3449,14,34,8,16,0
103046,3448,17,34,21,11,0
103047,3447,15,34,30,9,0
103048,3446,9,34,75,3,1
103049,3445,8,34,69,4,2
103050,3444,7,34,4,17,0
103051,3443,6,34,9,15,0
103052,3442,5,34,51,7,1
103053,3441,4,34,53,6,2
103054,3440,3,34,17,13,0
103055,3439,2,34,60,5,0
103056,3438,1,34,94,1,5
103057,355,1,35,98,1,5
103058,356,2,35,60,6,0
103059,357,3,35,17,13,0
103060,358,4,35,61,5,2
103061,359,5,35,53,7,1
103062,360,6,35,9,15,0
103063,361,7,35,4,17,0
103064,362,8,35,75,3,2
103065,363,9,35,75,4,1
103066,364,15,35,31,9,0
103067,365,17,35,21,11,0
103068,366,14,35,8,16,0
103069,367,18,35,3,18,0
103070,368,12,35,19,12,0
103071,369,21,35,0,19,0
103072,370,22,35,11,14,0
103073,371,19,35,0,22,0
103074,372,11,35,0,21,0
103075,373,13,35,97,2,6
103076,374,10,35,25,10,0
103077,375,16,35,0,20,0
103078,376,20,35,35,8,1
103079,13629,16,36,0,17,0
103080,13628,19,36,0,16,0
103081,13627,18,36,0,15,0
103082,13626,24,36,0,14,0
103083,13625,17,36,0,13,0
103084,13624,11,36,0,12,0
103085,13623,22,36,0,11,0
103086,13622,5,36,0,10,0
103087,13621,15,36,0,9,0
103088,13620,23,36,1,8,0
103089,13619,3,36,2,7,0
103090,13618,13,36,3,6,0
103091,13617,21,36,4,5,0
103092,13649,9,37,0,20,0
103093,13648,26,37,0,17,0
103094,13647,25,37,0,11,0
103095,13646,16,37,0,19,0
103096,13645,19,37,0,18,0
103097,13644,18,37,0,15,0
103098,13643,24,37,0,16,0
103099,13642,17,37,0,12,0
103100,13641,11,37,0,14,0
103101,13640,22,37,0,13,0
103102,13639,5,37,1,9,0
103103,13638,15,37,2,7,0
103104,13637,23,37,1,10,0
103105,13635,13,37,7,6,0
103106,13670,27,38,0,18,0
103107,13669,9,38,3,8,0
103108,13668,26,38,0,19,0
103109,13667,25,38,0,12,0
103110,13666,16,38,0,20,0
103111,13665,19,38,0,21,0
103112,13664,18,38,0,16,0
103113,13663,24,38,0,17,0
103114,13662,17,38,0,13,0
103115,13661,11,38,0,15,0
103116,13660,22,38,0,14,0
103117,13659,5,38,1,10,0
103118,13658,15,38,4,7,0
103119,13657,23,38,1,11,0
103120,13656,3,38,2,9,0
103121,13655,13,38,17,4,1
103122,13654,21,38,8,6,0
103123,13653,2,38,15,5,0
103124,13652,1,38,22,3,0
103125,13651,4,38,22,1,1
103126,13650,8,38,22,2,1
103127,13692,14,39,4,9,0
103128,13691,27,39,0,20,0
103129,13690,9,39,8,6,0
103130,13689,26,39,0,22,0
103131,13688,25,39,0,14,0
103132,13687,16,39,0,19,0
103133,13686,19,39,0,17,0
103134,13685,18,39,0,18,0
103135,13684,24,39,0,21,0
103136,13683,17,39,0,16,0
103137,13682,11,39,1,12,0
103138,13681,22,39,0,15,0
103139,13680,5,39,3,11,0
103140,13679,15,39,4,10,0
103141,13678,23,39,1,13,0
103142,13677,3,39,5,8,0
103143,13675,21,39,8,7,0
103144,13714,14,40,4,9,0
103145,13713,27,40,0,21,0
103146,13712,9,40,12,7,0
103147,13711,26,40,0,15,0
103148,13710,25,40,2,12,0
103149,13709,16,40,0,20,0
103150,13708,19,40,0,19,0
103151,13707,18,40,0,18,0
103152,13706,24,40,0,22,0
103153,13705,17,40,0,17,0
103154,13704,11,40,1,13,0
103155,13703,22,40,0,16,0
103156,13702,5,40,3,11,0
103157,13701,15,40,4,10,0
103158,13700,23,40,1,14,0
103159,13699,3,40,5,8,0
