geography_surrogate_key,city,country,nationality,latitude,longitude
369,,,British,,
370,,,German,,
374,,,French,,
372,,,Finnish,,
377,,,Italian,,
373,,,Japanese,,
375,,,Polish,,
379,,,Austrian,,
385,,,Indian,,
381,,,Dutch,,
408,,,Russian,,
392,,,Swiss,,
387,,,Irish,,
382,,,Colombian,,
383,,,Portuguese,,
411,,,Hong Kong,,
376,,,Brazilian,,
386,,,Hungarian,,
384,,,Canadian,,
388,,,Danish,,
389,,,Argentine,,
390,,,Czech,,
399,,,Mexican,,
380,,,American,,
378,,,Australian,,
394,,,Monegasque,,
395,,,Swedish,,
396,,,Venezuelan,,
397,,,New Zealander,,
398,,,Chilean,,
400,,,South African,,
402,,,Rhodesian,,
401,,,Liechtensteiner,,
393,,,Belgian,,
403,,,American-Italian,,
404,,,Uruguayan,,
405,,,Argentine-Italian,,
406,,,Thai,,
407,,,East German,,
371,,,Spanish,,
409,,,Indonesian,,
410,,,Chinese,,
416,,,,40.9517,29.405
417,,,,43.7347,7.42056
418,,,,45.5,-73.5228
419,,,,46.8642,3.16361
420,,,,52.0786,-1.01694
421,,,,49.3278,8.56583
422,,,,47.5789,19.2486
423,,,,39.4589,-0.331667
424,,,,50.4372,5.97139
425,,,,45.6156,9.28111
426,,,,1.2914,103.864
427,,,,35.3717,138.927
428,,,,31.3389,121.22
429,,,,-23.7036,-46.6997
430,,,,39.795,-86.2347
431,,,,50.3356,6.9475
432,,,,44.3439,11.7167
433,,,,34.8431,136.541
434,,,,36.1147,-115.173
435,,,,24.4672,54.6031
436,,,,-34.6943,-58.4593
437,,,,36.7083,-6.03417
438,,,,38.7506,-9.39417
391,,,Malaysian,,
412,,,,-37.8497,144.968
413,,,,2.76083,101.738
414,,,,26.0325,50.5106
415,,,,41.57,2.26111
439,,,,34.915,134.221
440,,,,-34.9272,138.617
441,,,,-25.9894,28.0767
442,,,,52.8306,-1.37528
443,,,,19.4042,-99.0907
444,,,,33.4479,-112.075
445,,,,43.2506,5.79167
446,,,,34.7333,126.417
447,,,,-22.9756,-43.395
448,,,,42.3298,-83.0401
449,,,,51.3569,0.263056
450,,,,52.3888,4.54092
451,,,,50.9894,5.25694
452,,,,47.3625,4.89913
453,,,,32.7774,-96.7587
454,,,,33.7651,-118.189
455,,,,36.1162,-115.174
456,,,,40.6171,-3.58558
457,,,,42.3369,-76.9272
458,,,,57.2653,13.6042
459,,,,44.0481,-78.6756
460,,,,41.3664,2.15167
461,,,,50.6211,4.32694
462,,,,45.7472,3.03889
463,,,,46.1877,-74.6099
464,,,,49.3306,1.00458
465,,,,47.95,0.224231
466,,,,49.2542,3.93083
467,,,,-33.0486,27.8736
468,,,,47.2039,14.7478
469,,,,53.4769,-2.94056
470,,,,41.1705,-8.67325
471,,,,33.937,-117.273
472,,,,52.4806,13.2514
473,,,,38.7197,-9.20306
474,,,,27.4547,-81.3483
475,,,,33.5786,-7.6875
476,,,,42.475,14.1508
477,,,,46.9589,7.40194
478,,,,41.3903,2.11667
479,,,,28.3487,77.5331
480,,,,30.1328,-97.6411
481,,,,47.2197,14.7647
482,,,,43.4057,39.9578
483,,,,40.3725,49.8533
484,,,,37.227,-8.6267
485,,,,43.9975,11.3719
486,,,,21.6319,39.1044
487,,,,25.49,51.4542
488,,,,25.9581,-80.2389
